candidate_id,source_page,source_page_index,x,y,w,h,area,row_index,col_index,img_width,img_height
page00_r00_c00,Scan (3)_page_0002.png,0,637,229,7,12,50,0,0,2550,3300
page00_r00_c01,Scan (3)_page_0002.png,0,650,211,8,10,39,0,1,2550,3300
page00_r00_c02,Scan (3)_page_0002.png,0,660,157,40,51,325,0,2,2550,3300
page00_r00_c03,Scan (3)_page_0002.png,0,699,148,12,7,54,0,3,2550,3300
page00_r01_c00,Scan (3)_page_0002.png,0,462,385,148,66,3839,1,0,2550,3300
page00_r01_c01,Scan (3)_page_0002.png,0,602,344,7,4,22,1,1,2550,3300
page00_r01_c02,Scan (3)_page_0002.png,0,2503,287,47,508,8337,1,2,2550,3300
page00_r02_c00,Scan (3)_page_0002.png,0,462,493,152,57,3607,2,0,2550,3300
page00_r02_c01,Scan (3)_page_0002.png,0,464,598,153,51,3452,2,1,2550,3300
page00_r02_c02,Scan (3)_page_0002.png,0,747,575,94,114,1850,2,2,2550,3300
page00_r02_c03,Scan (3)_page_0002.png,0,846,566,146,84,1092,2,3,2550,3300
page00_r02_c04,Scan (3)_page_0002.png,0,1137,591,74,73,1299,2,4,2550,3300
page00_r02_c05,Scan (3)_page_0002.png,0,1221,576,82,94,754,2,5,2550,3300
page00_r02_c06,Scan (3)_page_0002.png,0,1632,566,12,64,373,2,6,2550,3300
page00_r02_c07,Scan (3)_page_0002.png,0,1688,579,76,58,837,2,7,2550,3300
page00_r03_c00,Scan (3)_page_0002.png,0,464,699,158,56,3666,3,0,2550,3300
page00_r03_c01,Scan (3)_page_0002.png,0,487,661,35,10,150,3,1,2550,3300
page00_r03_c02,Scan (3)_page_0002.png,0,757,709,128,143,3248,3,2,2550,3300
page00_r03_c03,Scan (3)_page_0002.png,0,1162,699,38,48,704,3,3,2550,3300
page00_r03_c04,Scan (3)_page_0002.png,0,1239,662,104,74,1010,3,4,2550,3300
page00_r03_c05,Scan (3)_page_0002.png,0,1258,732,150,80,954,3,5,2550,3300
page00_r03_c06,Scan (3)_page_0002.png,0,1607,654,65,73,1142,3,6,2550,3300
page00_r03_c07,Scan (3)_page_0002.png,0,1628,741,45,59,779,3,7,2550,3300
page00_r03_c08,Scan (3)_page_0002.png,0,1699,658,88,70,895,3,8,2550,3300
page00_r03_c09,Scan (3)_page_0002.png,0,1716,758,65,42,583,3,9,2550,3300
page00_r04_c00,Scan (3)_page_0002.png,0,464,800,162,55,3777,4,0,2550,3300
page00_r04_c01,Scan (3)_page_0002.png,0,479,862,53,12,299,4,1,2550,3300
page00_r04_c02,Scan (3)_page_0002.png,0,483,763,45,12,246,4,2,2550,3300
page00_r04_c03,Scan (3)_page_0002.png,0,798,866,34,66,940,4,3,2550,3300
page00_r04_c04,Scan (3)_page_0002.png,0,852,792,98,61,849,4,4,2550,3300
page00_r04_c05,Scan (3)_page_0002.png,0,1142,762,84,68,1296,4,5,2550,3300
page00_r04_c06,Scan (3)_page_0002.png,0,1292,809,132,106,1089,4,6,2550,3300
page00_r04_c07,Scan (3)_page_0002.png,0,1315,833,123,165,1504,4,7,2550,3300
page00_r04_c08,Scan (3)_page_0002.png,0,1638,817,41,71,727,4,8,2550,3300
page00_r04_c09,Scan (3)_page_0002.png,0,1724,833,57,47,483,4,9,2550,3300
page00_r05_c00,Scan (3)_page_0002.png,0,465,899,166,59,3856,5,0,2550,3300
